PMID,Title,Abstract,Classification,Confidence
42332716,Low-dose MyoAAV 2A-mediated delivery of engineered micro-utrophin achieves pan- muscle tissue distribution with elevated muscle function in Duchenne muscular dystrophy.,"The pathogenesis of Duchenne muscular dystrophy (DMD) is driven by a deficiency of functional dystrophin. Although gene therapy is a promising strategy, current approaches face substantial challenges in balancing therapeutic efficacy with toxicity, largely owing to the requirement for high-dose adeno-associated virus (AAV) administration. We employed a low-dose strategy in neonatal mdx mice, using a muscle-targeted MyoAAV 2 A capsid to deliver a rationally designed, codon-optimized micro-utrophin construct (ΔR4-R22/ΔC + H3/H4) at 1 × 10¹² vg/kg via intraperitoneal injection. Four weeks post-injection, micro-utrophin expression and localization, as well as γ- and α-sarcoglycan recruitment, were assessed by western blotting and immunofluorescence. Vector genome distribution was quantified by real-time quantitative PCR. Tissue histology was evaluated using Evans blue dye uptake, H&E staining, and Masson's trichrome staining. Muscle function was measured by grip strength and treadmill exercise tests. Serum biomarkers of cardiac injury, heart failure, and systemic inflammation were detected by ELISA. Robust micro-utrophin expression was detected in skeletal muscles, diaphragm, and myocardium, with minimal off-target expression in the liver. Sarcolemmal localization and functional recruitment of γ- and α-sarcoglycan confirmed restoration of the dystrophin-glycoprotein complex. In treated animals, serum creatine kinase levels, Evans blue dye uptake, and central nucleation in multiple muscles were significantly reduced, accompanied by improvements in relative grip strength, running time, and distance to exhaustion. No cardiac or hepatic toxicity was observed, as indicated by unchanged cTnI, NT-proBNP, ALT, and AST levels. Additionally, serum IL-6 and C5a concentrations were significantly decreased, and fibrosis and inflammation in the diaphragm and myocardium were markedly attenuated. These findings demonstrate that combining a functional micro-utrophin construct with an advanced muscle-tropic MyoAAV 2 A capsid constitutes a promising strategy to overcome the efficacy-toxicity trade-off that has hindered the clinical translation of DMD gene therapies.",mixed evidence regarding: Creatine improves cognition,0.4530102610588074
42331064,Creatine and Cognitive Function in Rodents: A Systematic Review of Behavioral and Neurobiological Evidence.,"Creatine monohydrate is one of the most widely used dietary supplements worldwide, and growing preclinical evidence suggests it may exert cognitive benefits beyond its established role in energy metabolism. However, the conditions under which these effects emerge, and the neurobiological mechanisms mediating them, remain incompletely characterised. A systematic review was conducted following PRISMA 2020 guidelines, searching Scopus, PubMed, and Web of Science for experimental studies published between 2015 and 2026. Studies were eligible if they evaluated the effects of creatine supplementation on cognitive performance in rodent models and reported behavioural and/or neurobiological outcomes. Risk of bias was assessed using SYRCLE's tool for animal studies. Nineteen studies were included, comprising experiments rodents across healthy animals and models of neurodegeneration, metabolic insult, perinatal stress, and creatine biosynthesis deficiency. Creatine improved learning and memory in the majority of studies. The magnitude of cognitive benefits was moderated by route of administration, with intranasal delivery showing superior brain uptake and cognitive effects relative to oral supplementation, treatment duration, and sex. Mechanistically, cognitive improvements were associated with enhanced mitochondrial respiratory capacity, upregulation of synaptic plasticity proteins (CaMKII, PSD-95, BDNF) via CaMKII/CREB and PI3K/AKT/mTOR signalling, attenuation of neuroinflammation through NF-κB suppression and STAT1 inhibition, and reduction of oxidative stress through CK-BB restoration. Preclinical evidence consistently supports a cognitive-enhancing role for creatine, mediated by a convergent set of energetic, synaptic, anti-inflammatory, and antioxidant mechanisms. Translating these findings to clinical applications will require brain-targeted delivery strategies, systematic consideration of sex as a biological variable, and mechanistically rigorous study designs.",supports: Creatine improves cognition,0.7666140794754028
42313306,Strategies to optimize the nutritional profile of mammalian meat for infants and geriatric population.,"Early-life growth and aging represent physiological stages with increased protein requirements due to rapid tissue development, anabolic resistance and reduced ability to digest and absorb nutrients. Red meat, which includes beef, pork, lamb and goat, provides complete proteins containing all essential amino acids, and micronutrients including iron, zinc, phosphorus, selenium, B vitamins and bioactive molecules such as creatine, taurine and carnitine. This review evaluates the nutritional composition and digestibility of different meat types and meat cuts, and how processing technology may improve protein intake in infants and geriatric population. The vulnerable population require softer texture of meat to ease mastication, swallowing and digestion. Meat cuts have different amino acid profile compared to one another. With the use of moderate temperature thermal processing, high pressure processing, dry ageing/in-bag dry ageing and/or fruit enzymes, protein unfolding, denaturation and proteolysis take place. Dependent on the processing conditions, proteins may become more digestible, liberating free amino acids and short peptides of less than 3 kDa that are easily absorbed by the small intestine for their functions. Conditions can be optimized to target for a release of key amino acids that are crucial for muscle protein synthesis (eg. Branched chain amino acids, including leucine, isoleucine and valine), immunity or cognitive function, which are of particular importance to the infants and geriatric population. By taking this approach, nutritional value of a given quantity of meat can be maximized, while supporting a more sustainable approach to feeding the population with limited resources.",supports: Creatine improves cognition,0.49349212646484375
42309815,Stage- and Region-Dependent Proteomic Alterations in a Mouse Model of Creatine Transporter Deficiency.,"SLC6A8 encodes the creatine transporter (CRT), which mediates creatine transport across the plasma membrane in the brain, including the blood-brain barrier and neurons. Creatine transporter deficiency (CTD), caused by pathogenic variants in SLC6A8, leads to cerebral creatine depletion and cognitive impairment. Here, we investigated the developmental molecular mechanisms underlying CTD using the pathogenic c.1681G>C (G561R) variant of Slc6a8, which corresponds to a variant identified in SLC6A8 in a patient with CTD. In vitro analyses using HEK293 cells expressing mutant mouse CRT carrying the G561R variant demonstrated impaired N-glycan maturation and plasma membrane localization of the transporter, resulting in markedly reduced creatine uptake, consistent with previous reports on the corresponding human CRT variant. To investigate the in vivo effects of this pathogenic variant, we generated CRT-G561R knock-in mice by introducing the c.1681G>C point mutation into the mouse Slc6a8 gene using the CRISPR/Cas9 system. These male mice exhibited severe reductions in brain creatine levels, postnatal growth retardation, and impaired spatial memory, despite preserved gross brain morphology. Quantitative proteomic analyses of the hippocampus and cerebral cortex during postnatal development revealed region-dependent protein alterations in CTD. The hippocampus showed pronounced early postnatal remodeling involving proteins related to actin cytoskeleton organization and vesicle-mediated membrane trafficking, whereas the cerebral cortex exhibited a more gradual response involving creatine biosynthesis-related enzymes and later-emerging mitochondrial pathways, including the mitochondrial translation machinery. These findings demonstrate stage- and region-dependent proteomic remodeling during postnatal brain development in CTD.Significance Statement Creatine transporter deficiency (CTD) causes cerebral creatine depletion and intellectual disability; however, the developmental mechanisms linking creatine loss to brain dysfunction remain unclear. We performed developmental proteomic profiling of the hippocampus and cerebral cortex using a mouse model carrying a pathogenic Slc6a8 variant identified in patients with CTD. Creatine transporter dysfunction induces distinct region- and stage-dependent molecular responses during postnatal brain maturation. The hippocampus shows early alterations in cytoskeleton-dependent membrane trafficking pathways, consistent with impaired synaptic and circuit maturation, whereas the cerebral cortex exhibits progressive metabolic and mitochondrial adaptations. These findings suggest that impaired creatine-dependent energy buffering disrupts distinct developmental programs across brain regions, potentially contributing to cognitive dysfunction by hindering early hippocampal circuit maturation.",mixed evidence regarding: Creatine improves cognition,0.5790477991104126
42280432,Acute Creatine Ingestion Before Resistance Training Enhances Strength Performance More than Ingestion During or After Training: A Randomized Crossover Pilot Trial.,"Background/Objectives: Although creatine (Cr) supplementation is well established for enhancing strength exercise adaptations, limited evidence exists regarding whether the timing of a single Cr dose relative to exercise acutely influences performance and related physiological and perceptual responses. This study examined whether the timing of a single dose of Cr ingestion relative to a strength exercise session influences acute strength and power performance, cognitive function, perceptual responses, and selected blood biomarkers in physically active men. Methods: In a randomized, placebo-controlled crossover design, 11 physically active men (26.09 ± 4.39 years) completed five experimental conditions: Cr ingested before exercise (CrB), during exercise (CrD), and after exercise (CrF), placebo (PL), and a no-supplement control. Participants ingested 0.1 g·kg-1 body mass of monohydrate Cr or placebo. Each condition included a standardized strength training session, where bench press (BP) and back squat (BSQ) performance was assessed as the total external load lifted (kg) across six sets performed at 80% of 1-RM for each exercise. Countermovement jump (CMJ) performance, Profile of Mood States (POMS), cognitive performance (digit cancelation test), perceived exertion (RPE), perceived recovery scale (PRS), Delayed-Onset Muscle Soreness (DOMS), and blood markers of muscle damage and renal function were assessed after the resistance training session. Data were analyzed using repeated-measures ANOVA or non-parametric equivalents, with post hoc comparisons adjusted for multiple testing. Results: There was a significant main effect of condition for both BP (F = 4.91, ηp2 = 0.33, p = 0.035) and BSQ performance (F = 33.22, ηp2 = 0.77, p < 0.001), with greater performance under the CrB condition compared with PL and control (p < 0.05). A significant effect of condition was also observed for creatine kinase (χ2 (4) = 12.22, p = 0.016) and creatinine concentrations (χ2 (4) = 17.75, p = 0.001). Blood creatine kinase concentrations were greater under CrF conditions than control (p = 0.013) and PL (p = 0.041). Moreover, creatinine concentration was lower under the CrB condition compared to CrD (p = 0.033), CrF (p = 0.003), and the control (p = 0.021). No differences were observed for CMJ performance, cognitive performance, POMS, RPE, PRS, DOMS, or the remaining biochemical markers across treatments. Conclusions: Pre-exercise creatine ingestion (without loading phase) was associated with greater acute strength performance compared with other timing conditions. However, the findings are exploratory and have to be confirmed with a higher sample size and robust placebo/control structures.",mixed evidence regarding: Creatine improves cognition,0.6923417448997498
42275650,Bilateral Striatal Hypometabolism on FDG PET in a Patient With McLeod Syndrome.,"18F-FDG PET scan performed on a 59-year-old man with progressive chorea, cognitive decline, peripheral neuropathy, and elevated creatine kinase revealed marked bilateral caudate and putamen hypometabolism. Huntington disease was suspected but HTT testing was negative. Whole-exome sequencing identified a hemizygous XK mutation (c.664C>T, p.(Arg222*)), confirming McLeod syndrome. This case highlights that bilateral striatal hypometabolism with peripheral involvement in addition to extrapyramidal symptoms should raise suspicion for McLeod syndrome.",mixed evidence regarding: Creatine improves cognition,0.7035744190216064
42269175,Timing Matters: Effectiveness of Compressive Garments on Recovery in Trail Runners.,"Cuniberti, G, Callovini, A, Mattivi, M, Palumbo, M, Forrer, T, Bettega, S, Pedrinolla, A, Danese, E, Ugel, S, Fornasiero, A, Zoppirolli, C, Schena, F, Pellegrini, B, and Bortolan, L. Timing matters: effectiveness of compressive garments on recovery in trail runners. J Strength Cond Res XX(X): 000-000, 2026-The effectiveness of compressive garments (CGs) for postexercise recovery remains contentious in scientific research. Variability in findings may arise from different garment properties and exercises used to induce fatigue or muscle damage, particularly when tasks involve eccentric actions, such as downhill running. This study investigates the effects of medium compression shorts on recovery after a 26-km trail running race. Fifty-six trail runners (13 women and 43 men, age: 33.9 ± 8.1) were recruited and allocated to 3 groups: wearing CGs during the race (RACE) or during a 48-hour recovery period (REC), and a control group (CON). Inflammatory biomarkers (lactate dehydrogenase, creatine kinase (CK) and C-reactive protein), neuromuscular (NM) parameters (maximal voluntary contraction, rate of force development, local endurance of the knee extensors, countermovement jump [CMJ], drop jump), and perceptual parameters (perception of delayed-onset muscle soreness) were assessed before, immediately after (POST-0) and 48 hours (POST-48) post-race. Neither relative effort nor total race time differs between groups. Both RACE and REC groups showed attenuated CK increases from POST-0 to POST-48 compared with CON (+16.4%; +9.3%; +107.2%, p < 0.001), but CMJ height performance recovered significantly from POST-0 to POST-48 only in the RACE group (+9.9%, p < 0.001; +3.7%; +9.3% for RACE, REC, and CON). No other significant differences were found. The attenuated CK increase suggests that CGs may reduce muscle microtrauma and enhance metabolic clearance. Using CGs only during the race improved CMJ performance at POST-48, indicating that limiting muscle damage is crucial for promoting neuromuscular recovery after a trail race.",mixed evidence regarding: Creatine improves cognition,0.4871843755245209
42261581,"Creatine Supplementation and Acute Sleep Deprivation: A Systematic Review of Cognitive, Psychomotor, and Mood Outcomes.","Background: Acute sleep deprivation impairs cognitive, psychomotor, and mood outcomes, in part by reducing cerebral adenosine triphosphate (ATP) availability. Creatine supplementation may counter these effects by increasing phosphocreatine stores.Methods: Six databases were systematically searched (January 2006-May 2025) for studies investigating creatine's effects on cognitive, psychomotor, and mood outcomes during acute sleep deprivation.Results: Results were synthesized narratively. Of 160 records, five studies met the inclusion criteria. Early investigations indicate a positive trend for creatine supplementation as an intervention for acute sleep deprivation, though effects may vary by cognitive domain.Conclusion: Despite favorable early results, research is sparse, and future high-quality trials are needed.",mixed evidence regarding: Creatine improves cognition,0.7910985350608826
42257668,[Neuropsychiatric Effects of Creatine: What Does the Preclinical and Clinical Evidence Conclude?].,"Creatine is a compound with putative neuropsychiatric effects. To assess the impact of creatine supplementation on affective disorders and cognitive function. Relevant studies developed in non-human animal models (preclinical evidence) and in humans (clinical evidence) were analyzed to discuss potential mechanisms of action and effectiveness in different clinical scenarios, respectively. Initially, we describe the activity of creatine at the brain level, highlighting its bioenergetic role and its role in modulating pathways related to neurodegeneration, neuroinflammation and synaptic plasticity. Creatine has shown a significant effect as an adjuvant in the therapy of affective disorders and as an enhancer of different dimensions of cognitive function. These results have been obtained from studies with observational and experimental design and from systematic reviews with meta-analysis. Further studies are required to validate these effects and to establish administration protocols in different population groups and in some more particular ones, such as vegetarians, women and subjects exposed to high cognitive demand or stress. Likewise, the potential effect on people with bipolar disorder is more uncertain.",mixed evidence regarding: Creatine improves cognition,0.5233016014099121
42235208,Fronto-striatal neurometabolite signatures of impulsivity in early abstinence from methamphetamine.,"Methamphetamine use is associated with neurometabolite alterations and increased impulsivity, but relationships between neurometabolites and specific impulsivity dimensions remain unclear, particularly during early abstinence when relapse risk is high and recovery is dynamic. We studied 20 recently abstinent individuals and 21 age-matched controls. Single-voxel MRS was acquired in the bilateral dorsolateral prefrontal cortex (DLPFC), medial prefrontal cortex (mPFC), anterior cingulate cortex (ACC), and caudate (CAUD) to quantify N-acetylaspartate (NAA), myo-inositol (mI), choline compounds (GPC + PCh), and glutamate and glutamine (Glu + Gln) concentrations relative to total creatine (Cr + PCr). Group differences in neurometabolite ratios were tested with linear mixed-effects models, and impulsivity was tested across six Barratt Impulsiveness Scale (BIS-11) first-order factors with mixed-design ANCOVA. Regressions assessed whether neurometabolite concentrations predicted impulsivity and whether relationships differed between groups, adjusting for education, depression, anxiety, and stress. Recently abstinent individuals scored higher on three BIS-11 factors (Motor, Self-Control, Cognitive Complexity). MRS showed elevated mI/Cr + PCr and GPC + PCh/Cr + PCr in the CAUD and increased GPC + PCh/Cr + PCr in the mPFC, while NAA and Glu + Gln ratios did not differ. Motor impulsivity was predicted only by higher stress. Lower self-control was associated with higher CAUD mI/Cr + PCr in age-matched controls but not in recently abstinent individuals. Cognitive Complexity was predicted by group, with no neurometabolite effects. Fronto-striatal glial dysregulation contributes to impulsivity in methamphetamine use disorder. Preservation of NAA despite glial changes suggests a distinct neurochemical profile of early abstinence. Stress and glial dysfunction, potentially involving neuroinflammatory processes, may jointly drive impulsivity, highlighting intervention targets. Integrating MRS with behavioral measures provides insight into relapse vulnerability.",mixed evidence regarding: Creatine improves cognition,0.4794315695762634
